mode,resource_profile,runtime_sec,result_rows,estimated_cost_usd,throughput_rows_per_sec,cost_per_1000_rows,strong_efficiency
strong,E4_C4_M16,0.6638715419976506,37,1.3572484858618634E-4,55.73367385000958,0.003668239150978009,0.5179570071166146
strong,E8_C4_M16,0.34385691700299503,37,1.4059927273011352E-4,107.60289576980568,0.003799980344057122,1.0
strong,E12_C4_M16,0.4165072500036331,37,2.5545778000222834E-4,88.83398788298945,0.00690426432438455,0.8255724648250317
weak,E4_C4_M16,0.19378212499577785,30,3.9617678888025695E-5,154.81304067985448,0.0013205892962675232,
weak,E8_C4_M16,0.2816477090018452,33,1.151626187918656E-4,117.16764931961083,0.0034897763270262303,
weak,E12_C4_M16,0.38086808300431585,37,2.3359909090931374E-4,97.14649678214367,0.006313488943494966,
